Artist,Song,URL
Louis Armstrong,What a Wonderful World,https://www.whosampled.com/Louis-Armstrong/What-a-Wonderful-World/
Shakira feat. Wyclef Jean,Hips Don’t Lie,https://www.whosampled.com/Shakira/Hips-Don%27t-Lie/
Lizzo,Truth Hurts,https://www.whosampled.com/Lizzo/Truth-Hurts/
The Supremes,You Can’t Hurry Love,https://www.whosampled.com/The-Supremes/You-Can%27t-Hurry-Love/
Celine Dion,My Heart Will Go On,https://www.whosampled.com/Celine-Dion/My-Heart-Will-Go-On/
Freda Payne,Band of Gold,https://www.whosampled.com/Freda-Payne/Band-of-Gold/
Lionel Richie,All Night Long (All Night),https://www.whosampled.com/Lionel-Richie/All-Night-Long-%28All-Night%29/
Fun. feat. Janelle Monáe,We Are Young,https://www.whosampled.com/Fun./We-Are-Young/
Tracy Chapman,Fast Car,https://www.whosampled.com/Tracy-Chapman/Fast-Car/
Cornelius Brothers & Sister Rose,Too Late to Turn Back Now,https://www.whosampled.com/Cornelius-Brothers/Too-Late-to-Turn-Back-Now/
Shaggy feat. Ricardo “RikRok” Ducent,It Wasn’t Me,https://www.whosampled.com/Shaggy/It-Wasn%27t-Me/
Depeche Mode,Enjoy the Silence,https://www.whosampled.com/Depeche-Mode/Enjoy-the-Silence/
Enrique Iglesias feat. Descemer Bueno & Gente de Zona,Bailando,https://www.whosampled.com/Enrique-Iglesias/Bailando/
Simon & Garfunkel,Mrs. Robinson,https://www.whosampled.com/Simon/Mrs.-Robinson/
Wham!,Wake Me Up Before You Go-Go,https://www.whosampled.com/Wham%21/Wake-Me-Up-Before-You-Go-Go/
Britney Spears,Oops!…I Did It Again,https://www.whosampled.com/Britney-Spears/Oops%21%E2%80%A6I-Did-It-Again/
TLC,Waterfalls,https://www.whosampled.com/TLC/Waterfalls/
Cheap Trick,I Want You to Want Me,https://www.whosampled.com/Cheap-Trick/I-Want-You-to-Want-Me/
Migos feat. Lil Uzi Vert,Bad and Boujee,https://www.whosampled.com/Migos/Bad-and-Boujee/
America,Sister Golden Hair,https://www.whosampled.com/America/Sister-Golden-Hair/
Mary J. Blige,Real Love,https://www.whosampled.com/Mary-J.-Blige/Real-Love/
DMX,Party Up (Up in Here),https://www.whosampled.com/DMX/Party-Up-%28Up-in-Here%29/
Dua Lipa,Levitating,https://www.whosampled.com/Dua-Lipa/Levitating/
Bee Gees,How Deep Is Your Love,https://www.whosampled.com/Bee-Gees/How-Deep-Is-Your-Love/
JoJo,Leave (Get Out),https://www.whosampled.com/JoJo/Leave-%28Get-Out%29/
Pointer Sisters,I’m So Excited,https://www.whosampled.com/Pointer-Sisters/I%27m-So-Excited/
Turtles,Happy Together,https://www.whosampled.com/Turtles/Happy-Together/
Frank Ocean,Thinkin Bout You,https://www.whosampled.com/Frank-Ocean/Thinkin-Bout-You/
Disclosure feat. Sam Smith,Latch,https://www.whosampled.com/Disclosure/Latch/
The Crystals,Then He Kissed Me,https://www.whosampled.com/The-Crystals/Then-He-Kissed-Me/
Lauryn Hill,Doo-Wop (That Thing),https://www.whosampled.com/Lauryn-Hill/Doo-Wop-%28That-Thing%29/
The Foundations,Build Me Up Buttercup,https://www.whosampled.com/The-Foundations/Build-Me-Up-Buttercup/
David Bowie,Modern Love,https://www.whosampled.com/David-Bowie/Modern-Love/
John Travolta & Olivia Newton-John,You’re the One That I Want,https://www.whosampled.com/John-Travolta/You%27re-the-One-That-I-Want/
Chubby Checker,The Twist,https://www.whosampled.com/Chubby-Checker/The-Twist/
Ray Charles,Hit the Road Jack,https://www.whosampled.com/Ray-Charles/Hit-the-Road-Jack/
Rae Sremmurd feat. Gucci Mane,Black Beatles,https://www.whosampled.com/Rae-Sremmurd/Black-Beatles/
Fall Out Boy,"Sugar, We’re Going Down",https://www.whosampled.com/Fall-Out-Boy/Sugar%2C-We%27re-Going-Down/
The Rolling Stones,Miss You,https://www.whosampled.com/The-Rolling-Stones/Miss-You/
Rick Astley,Never Gonna Give You Up,https://www.whosampled.com/Rick-Astley/Never-Gonna-Give-You-Up/
The Chicks,Goodbye Earl,https://www.whosampled.com/The-Chicks/Goodbye-Earl/
The Cardigans,Lovefool,https://www.whosampled.com/The-Cardigans/Lovefool/
Daddy Yankee,Gasolina,https://www.whosampled.com/Daddy-Yankee/Gasolina/
David Guetta feat. Sia,Titanium,https://www.whosampled.com/David-Guetta/Titanium/
Salt-n-Pepa,Shoop,https://www.whosampled.com/Salt-n-Pepa/Shoop/
Neneh Cherry,Buffalo Stance,https://www.whosampled.com/Neneh-Cherry/Buffalo-Stance/
Psy,Gangnam Style,https://www.whosampled.com/Psy/Gangnam-Style/
Corinne Bailey Rae,Put Your Records On,https://www.whosampled.com/Corinne-Bailey-Rae/Put-Your-Records-On/
Beck,Loser,https://www.whosampled.com/Beck/Loser/
Bruce Springsteen,Dancing in the Dark,https://www.whosampled.com/Bruce-Springsteen/Dancing-in-the-Dark/
Temptations,Just My Imagination (Running Away With Me),https://www.whosampled.com/Temptations/Just-My-Imagination-%28Running-Away-With-Me%29/
Daryl Hall & John Oates,You Make My Dreams,https://www.whosampled.com/Daryl-Hall/You-Make-My-Dreams/
The Cure,Just Like Heaven,https://www.whosampled.com/The-Cure/Just-Like-Heaven/
Kanye West feat. Jamie Foxx,Gold Digger,https://www.whosampled.com/Kanye-West/Gold-Digger/
Whitney Houston,How Will I Know,https://www.whosampled.com/Whitney-Houston/How-Will-I-Know/
Christina Aguilera,Genie in a Bottle,https://www.whosampled.com/Christina-Aguilera/Genie-in-a-Bottle/
Petula Clark,Downtown,https://www.whosampled.com/Petula-Clark/Downtown/
Charli XCX,Boom Clap,https://www.whosampled.com/Charli-XCX/Boom-Clap/
Avril Lavigne,Sk8er Boi,https://www.whosampled.com/Avril-Lavigne/Sk8er-Boi/
The Lovin’ Spoonful,Do You Believe in Magic,https://www.whosampled.com/The-Lovin%27-Spoonful/Do-You-Believe-in-Magic/
Ace of Base,The Sign,https://www.whosampled.com/Ace-of-Base/The-Sign/
SZA,Kill Bill,https://www.whosampled.com/SZA/Kill-Bill/
The Spinners,Could It Be I’m Falling in Love?,https://www.whosampled.com/The-Spinners/Could-It-Be-I%27m-Falling-in-Love%3F/
Aqua,Barbie Girl,https://www.whosampled.com/Aqua/Barbie-Girl/
Carole King,It’s Too Late,https://www.whosampled.com/Carole-King/It%27s-Too-Late/
Soulja Boy,Crank That (Soulja Boy),https://www.whosampled.com/Soulja-Boy/Crank-That-%28Soulja-Boy%29/
Joni Mitchell,Big Yellow Taxi,https://www.whosampled.com/Joni-Mitchell/Big-Yellow-Taxi/
